ablest 4	['ablest', 'bleats', 'stable', 'tables']
resort 4	['resort', 'retros', 'roster', 'sorter']

resows 3	['resows', 'sowers', 'worses']

retest 4	['retest', 'setter', 'street', 'tester']

rhesus 3	['rhesus', 'rushes', 'ushers']

saints 3	['saints', 'satins', 'stains']

seated 3	['seated', 'sedate', 'teased']

senors 3	['senors', 'sensor', 'snores']

serves 3	['serves', 'severs', 'verses']

skated 3	['skated', 'staked', 'tasked']

skater 3	['skater', 'streak', 'takers']

skates 3	['skates', 'stakes', 'steaks']

sonnet 3	['sonnet', 'tenons', 'tonnes']

spouts 3	['spouts', 'stoups', 'tossup']

strove 3	['strove', 'troves', 'voters']

taster 4	['taster', 'taters', 'tetras', 'treats']

wander 3	['wander', 'warden', 'warned']

whiter 3	['whiter', 'wither', 'writhe']

